size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
48,0.471390978,0.87709365,0.605397036,0.480775193,1.124196398,0.43609352,0.591095205,0.499646577,2.592243259,0.153008131,-9.328393765,-0.313959117,5.493158826,-0.332634186
49,0.46499418,0.9709416,0.574521136,0.476979609,1.090516981,0.447549397,0.550023807,0.55001639,2.533282413,0.155674436,-5.614863494,-0.424318988,5.471076542,-0.332368115
50,0.462881,0.430676558,0.585874783,0.469368431,1.103278304,0.447715753,0.546510608,0.550736622,2.53759767,0.163261963,-5.920249967,-0.472874534,5.465729303,-0.327975754
51,0.464742863,0.952978018,0.622090918,0.46618105,1.137362518,0.413535738,0.535598288,0.546299515,2.534588929,0.165762948,-4.341029761,-0.501424742,5.396574815,-0.320457573
52,0.465850551,0.426235377,0.571599186,0.465022751,1.082154974,0.477061284,0.563902123,0.52377823,2.552273214,0.156491401,-9.765640163,-0.378010617,5.313975162,-0.308916485
53,0.465307227,0.495408472,0.524639203,0.680704365,1.028558873,0.501177642,0.578533925,0.525497425,2.562617097,0.151804631,-5.777215194,-0.369976793,5.404517689,-0.315327877
54,0.464417133,1.02417937,0.577201173,0.488694871,1.085397949,0.47654624,0.56887308,0.509632947,2.522040585,0.180353203,-7.725679386,-0.411315517,5.25598246,-0.295291373
55,0.46187311,0.489896102,0.541166876,0.473151429,1.051135416,0.49324227,0.58510277,0.520807998,2.528945663,0.175569794,-13.77050289,-0.231242032,5.09752093,-0.278676196
56,0.459095188,0.556625007,0.549627709,0.474822219,1.058762816,0.486584142,0.553007243,0.511475847,2.518224085,0.17378302,-11.24716623,-0.326443599,5.153325337,-0.289692619
57,0.455128681,1.091224179,0.572160997,0.474372275,1.078436174,0.468085239,0.513648285,0.581195793,2.486378985,0.175521537,-7.93229096,-0.321651788,5.201758507,-0.291400832
58,0.450611778,0.550168626,0.537700203,0.479316309,1.040690217,0.511912198,0.545303608,0.556947103,2.493334305,0.183982663,-6.678141795,-0.395470429,5.098999299,-0.280006788
59,0.449100121,1.072933302,0.551537626,0.477775078,1.056857512,0.496969687,0.539491842,0.565956338,2.505754422,0.1742131,-14.92055763,-0.3025892,5.07685487,-0.261758101
60,0.450412845,0.543959311,0.532295365,0.664097402,1.03537061,0.508941411,0.50197317,0.58091131,2.421218263,0.228625903,-8.444947627,-0.350569373,5.059870015,-0.256358485
61,0.451187612,0.607391977,0.54039776,0.475617461,1.042674082,0.505483132,0.512142766,0.589992045,2.416901351,0.220154758,-6.497302177,-0.278843394,4.949024769,-0.247616874
62,0.450795432,1.135678269,0.512805775,0.658914795,1.004990484,0.548852134,0.517443106,0.58656728,2.382286669,0.244871795,-12.05239736,-0.25649213,5.064688239,-0.268950492
63,0.450155643,0.600400494,0.530496576,0.649690591,1.028142775,0.508472558,0.486306621,0.611652008,2.38401446,0.241106189,-9.890823922,-0.296435191,5.040179206,-0.25614119
64,0.448267409,0.66185409,0.507825028,0.652368286,1.003601207,0.554035434,0.503165143,0.588850766,2.40117903,0.225333951,-9.764692366,-0.305747222,4.998174849,-0.252786986
65,0.446202664,0.593692641,0.510575129,0.664641392,1.005289158,0.558472654,0.444825583,0.662138003,2.335326038,0.245128424,-12.45041998,-0.284798155,4.949613433,-0.241955751
66,0.443256473,0.654168475,0.533323799,0.631050076,1.031082593,0.489569556,0.464956712,0.625392113,2.35330744,0.24709323,-21.86189391,-0.196407887,4.878470523,-0.246912884
67,0.439898425,1.176937188,0.542876635,0.49713513,1.03729532,0.509151983,0.472729508,0.645929012,2.325010427,0.248270181,-9.352809755,-0.275724993,4.961332756,-0.236974729
68,0.438763978,0.646802535,0.502776989,0.656058881,0.994338199,0.541606318,0.473059463,0.619196622,2.360992795,0.231779398,-6.404112535,-0.342722124,4.903659341,-0.225335876
69,0.439738284,0.705500432,0.525079617,0.648656458,1.011643178,0.523724906,0.478116305,0.639499763,2.334690987,0.263012285,-15.8988851,-0.271102422,4.945965132,-0.250057013
70,0.440309878,0.639738513,0.503580621,0.647273297,0.988570611,0.553177725,0.465989651,0.625804935,2.319169427,0.253587369,-12.14339367,-0.232179397,4.782088499,-0.215682256
71,0.440013564,0.697547249,0.503805685,0.642873438,0.998481172,0.544694118,0.450645128,0.649170459,2.277004531,0.281591525,-12.64639593,-0.226054092,4.784530309,-0.214759014
72,0.439531739,0.75460208,0.489289031,0.650813713,0.976342037,0.571504635,0.478193657,0.608086444,2.35094039,0.230392086,-11.61404431,-0.224336203,4.824080626,-0.221599889
73,0.438074723,0.689922292,0.508717879,0.648697053,0.997755534,0.542478506,0.383893112,0.746478362,2.229088281,0.295997304,-91.57400706,-0.11523656,4.686590719,-0.20195969
74,0.436479834,0.746124655,0.533370821,0.509428296,1.019968633,0.511765656,0.466115198,0.61636571,2.312831022,0.261548944,-7.805542219,-0.212176032,4.671584081,-0.199740558
75,0.434205464,0.430676558,0.489160445,0.632341143,0.981372088,0.560769329,0.441249371,0.678283465,2.270945374,0.281235002,1682.092698,-0.172753244,4.664640404,-0.193488488
76,0.431611665,0.737996698,0.502807265,0.648154544,0.991563352,0.544395748,0.432796881,0.679430159,2.293553163,0.260451758,-20.71512148,-0.253332744,4.82889729,-0.20863245
77,0.430729133,0.7927078,0.491855112,0.65800254,0.97256967,0.579059524,0.416843492,0.706913955,2.260199703,0.280293701,-81.26014166,-0.202440559,4.689726341,-0.1971434
78,0.43148049,0.730197108,0.49919909,0.63102067,0.987788897,0.538366039,0.420416632,0.685342996,2.240676815,0.303847025,-6.934226191,-0.280455447,4.7623966,-0.186071252
79,0.431919232,0.784128666,0.50856514,0.633872683,0.994193104,0.555560926,0.428780019,0.695299058,2.276399275,0.280275379,-8.858009975,-0.222902564,4.638463099,-0.182432839
80,0.431687502,0.470776596,0.502104099,0.655336431,0.979222188,0.589509121,0.44023093,0.670468917,2.283864138,0.267550851,-10.60255247,-0.198663718,4.663639972,-0.19139056
81,0.431311672,0.775893624,0.515903958,0.647844291,1.000498867,0.529213458,0.420953712,0.697149518,2.227548256,0.302960627,-8.96004528,-0.210910456,4.669529854,-0.196109854
