size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
45,0,1.00E+06,0.804970749,0.196243361,0.754132661,0.539092002,0,1.00E+06,0,1.00E+06,-0.351949759,NA,1.694937757,0.05910153
46,0,1.00E+06,0.782542313,0.172853712,0.734874911,0.508229894,0,1.00E+06,0,1.00E+06,-0.418998572,NA,1.69925411,0.06352475
47,0,1.00E+06,0.82047996,0.238417504,0.760187964,0.598048479,0,1.00E+06,0,1.00E+06,-0.386485488,NA,1.669348682,0.078511528
48,0,1.00E+06,0.768803078,0.335420485,0.736483469,0.576918666,0,1.00E+06,0,1.00E+06,-0.387238766,NA,1.642400267,0.083217507
49,0,1.00E+06,0.729854125,0.282400322,0.708434226,0.520322465,0,1.00E+06,0,1.00E+06,-0.325924591,NA,1.59988162,0.117559243
50,0,1.00E+06,0.74980342,0.301327815,0.71648538,0.579914302,0,1.00E+06,0,1.00E+06,-0.352680574,NA,1.614891788,0.098552177
51,0,1.00E+06,0.69004172,0.312369653,0.682039158,0.57969902,0,1.00E+06,0,1.00E+06,-0.264826046,NA,1.561185902,0.119048204
52,0,1.00E+06,0.733166804,0.263077288,0.700179597,0.654589986,0,1.00E+06,0,1.00E+06,-0.379358575,NA,1.577161848,0.120257479
53,0,1.00E+06,0.737920327,0.227576275,0.694460103,0.569695269,0,1.00E+06,0,1.00E+06,-0.379319159,NA,1.563336594,0.121753932
54,0,1.00E+06,0.738311302,0.24222889,0.696048955,0.594210677,0,1.00E+06,0,1.00E+06,-0.27076109,NA,1.532595343,0.143982436
55,0,1.00E+06,0.721870747,0.285836262,0.681309211,0.552936961,0,1.00E+06,0,1.00E+06,-0.350016741,NA,1.536332398,0.134117396
56,0,1.00E+06,0.697618533,0.330806391,0.665891538,0.64796111,0,1.00E+06,0,1.00E+06,-0.320088717,NA,1.506781029,0.156291283
57,0,1.00E+06,0.642730504,0.347324033,0.636932473,0.603643766,0,1.00E+06,0,1.00E+06,-0.323187412,NA,1.506420397,0.161546431
58,0,1.00E+06,0.726420964,0.183185624,0.680971421,0.610836194,0,1.00E+06,0,1.00E+06,-0.309662487,NA,1.484978232,0.160514706
59,0,1.00E+06,0.710802092,0.242035681,0.675126002,0.606537242,0,1.00E+06,0,1.00E+06,-0.245303378,NA,1.476904347,0.182328496
60,0,1.00E+06,0.638082593,0.363835512,0.634725983,0.635993859,0,1.00E+06,0,1.00E+06,-0.33072391,NA,1.424483687,0.209164645
61,0,1.00E+06,0.66566172,0.347725047,0.652739035,0.668140012,0,1.00E+06,0,1.00E+06,-0.285930609,NA,1.422764381,0.216383993
62,0,1.00E+06,0.664204927,0.325699362,0.652617928,0.649023291,0,1.00E+06,0,1.00E+06,-0.247608172,NA,1.435511269,0.189269491
63,0,1.00E+06,0.635392209,0.283271429,0.625079855,0.694748477,0,1.00E+06,0,1.00E+06,-0.2663448,NA,1.387683565,0.227292284
64,0,1.00E+06,0.662666372,0.364266012,0.645873435,0.631063411,0,1.00E+06,0,1.00E+06,-0.285255934,NA,1.383901904,0.230539652
65,0,1.00E+06,0.692264645,0.286206706,0.657661033,0.597399482,0,1.00E+06,0,1.00E+06,-0.261958317,NA,1.373800165,0.237766117
66,0,1.00E+06,0.647675829,0.294215884,0.628654532,0.694190561,0,1.00E+06,0,1.00E+06,-0.216856684,NA,1.38744627,0.231295084
67,0,1.00E+06,0.648479981,0.295400863,0.629473321,0.653454651,0,1.00E+06,0,1.00E+06,-0.310968969,NA,1.368332654,0.249661786
68,0,1.00E+06,0.666656337,0.277179497,0.637695773,0.615226294,0,1.00E+06,0,1.00E+06,-0.295108438,NA,1.336951573,0.258458372
69,0,1.00E+06,0.639840199,0.45818129,0.618159829,0.707581039,0,1.00E+06,0,1.00E+06,-0.231634249,NA,1.349044392,0.252263769
70,0,1.00E+06,0.64294542,0.323114643,0.621062886,0.727688711,0,1.00E+06,0,1.00E+06,-0.137698082,NA,1.317513572,0.267940474
71,0,1.00E+06,0.58243843,0.372288902,0.58251286,0.720662966,0,1.00E+06,0,1.00E+06,-0.319027629,NA,1.336369835,0.263179122
72,0,1.00E+06,0.653190567,0.318622478,0.626481746,0.673663999,0,1.00E+06,0,1.00E+06,-0.217919607,NA,1.310715532,0.274310965
73,0,1.00E+06,0.60299042,0.394320252,0.606435254,0.69471503,0,1.00E+06,0,1.00E+06,-0.234781078,NA,1.299797696,0.276471785
74,0,1.00E+06,0.635271777,0.33607523,0.615173512,0.704994046,0,1.00E+06,0,1.00E+06,-0.261315892,NA,1.29225814,0.281472227
75,0,1.00E+06,0.61733633,0.354316303,0.606983244,0.721043817,0,1.00E+06,0,1.00E+06,-0.152904333,NA,1.29595604,0.278228045
76,0,1.00E+06,0.639426534,0.337540225,0.612853124,0.667871783,0,1.00E+06,0,1.00E+06,-0.218360839,NA,1.2560005,0.309077152
