size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
84,0,1.00E+06,0.700048571,0.340021839,0.971494386,0.458236196,0,1.00E+06,0,1.00E+06,19.00972126,-0.278379034,3.351660382,-0.210816781
85,0,1.00E+06,0.69024605,0.290768662,0.967862734,0.433083644,0,1.00E+06,0,1.00E+06,14.40894259,-0.248620706,3.350440882,-0.211218863
86,0,1.00E+06,0.696039893,0.336094601,0.962632444,0.461192884,0,1.00E+06,0,1.00E+06,13.67066051,-0.234649058,3.274695712,-0.205173223
87,0,1.00E+06,0.71021389,0.302831845,0.979365218,0.454991424,0,1.00E+06,0,1.00E+06,12.36473239,-0.260246106,3.313676654,-0.202939021
88,0,1.00E+06,0.683487196,0.326149792,0.950070316,0.450593744,0,1.00E+06,0,1.00E+06,21.89858917,-0.264971294,3.327590619,-0.202136534
89,0,1.00E+06,0.703384548,0.321703167,0.970062651,0.441087743,0,1.00E+06,0,1.00E+06,9.59630578,-0.187327685,3.213992274,-0.183205357
90,0,1.00E+06,0.674092882,0.322922556,0.937623869,0.497687237,0,1.00E+06,0,1.00E+06,12.55575384,-0.208710492,3.174257811,-0.17206885
91,0,1.00E+06,0.668925146,0.324274883,0.934304775,0.497364275,0,1.00E+06,0,1.00E+06,17.05413903,-0.258814655,3.178745352,-0.163947802
92,0,1.00E+06,0.676303928,0.364139431,0.939640058,0.476732696,0,1.00E+06,0,1.00E+06,-34.46122773,-0.304586872,3.200903522,-0.177657764
93,0,1.00E+06,0.66239629,0.344183107,0.930218158,0.508233063,0,1.00E+06,0,1.00E+06,6.770868875,-0.201503741,3.173028995,-0.166943859
94,0,1.00E+06,0.696707982,0.335519087,0.955743169,0.466333777,0,1.00E+06,0,1.00E+06,6.839603106,-0.181616624,3.190320449,-0.168186042
95,0,1.00E+06,0.660431874,0.330475549,0.927337716,0.490386116,0,1.00E+06,0,1.00E+06,4.993309477,-0.149283577,3.115925859,-0.157568849
96,0,1.00E+06,0.63671445,0.489483025,0.912239902,0.494303323,0,1.00E+06,0,1.00E+06,10.15370047,-0.238645608,3.110809402,-0.1434003
97,0,1.00E+06,0.655711565,0.324825045,0.927840165,0.513420109,0,1.00E+06,0,1.00E+06,11.39845017,-0.179475259,3.109306417,-0.143884935
98,0,1.00E+06,0.65723832,0.352741468,0.927552496,0.482983079,0,1.00E+06,0,1.00E+06,60.69641906,-0.239560123,3.132313412,-0.161724267
99,0,1.00E+06,0.678662862,0.329377121,0.94066979,0.480017266,0,1.00E+06,0,1.00E+06,17.23518852,-0.273400591,3.167839894,-0.17085054
100,0,1.00E+06,0.656658393,0.364496414,0.920426593,0.52629405,0,1.00E+06,0,1.00E+06,16.95596711,-0.218473823,3.115984619,-0.153799601
101,0,1.00E+06,0.651789603,0.350785696,0.915834471,0.503305253,0,1.00E+06,0,1.00E+06,11.67535903,-0.24774283,3.102389945,-0.148804275
102,0,1.00E+06,0.625331037,0.470333542,0.898377048,0.513879256,0,1.00E+06,0,1.00E+06,12.4738913,-0.216684387,3.047257606,-0.141308733
103,0,1.00E+06,0.641760704,0.356418242,0.910027399,0.518918028,0,1.00E+06,0,1.00E+06,11.05312292,-0.245138307,3.103612066,-0.149667263
104,0,1.00E+06,0.647324394,0.344871787,0.914786889,0.500633981,0,1.00E+06,0,1.00E+06,8.920663992,-0.167081288,3.002246036,-0.121720124
105,0,1.00E+06,0.647276752,0.337468095,0.914044974,0.526529735,0,1.00E+06,0,1.00E+06,21.08769549,-0.255461885,3.01937947,-0.132014103
106,0,1.00E+06,0.633830715,0.466561189,0.905372389,0.515787638,0,1.00E+06,0,1.00E+06,-201.1162864,-0.260406407,3.030310721,-0.127032829
107,0,1.00E+06,0.607453234,0.494137476,0.881849229,0.542597301,0,1.00E+06,0,1.00E+06,14.95709249,-0.22926045,3.064793502,-0.144757432
108,0,1.00E+06,0.61324786,0.490999259,0.88044983,0.531946618,0,1.00E+06,0,1.00E+06,14.39136706,-0.199128335,3.036946307,-0.130979764
117,0,1.00E+06,0.620830521,0.486378829,0.885859286,0.545441071,0,1.00E+06,0,1.00E+06,6.59679539,-0.195458519,2.922065181,-0.090692516
225,0,1.00E+06,0.478996894,0.58203203,0.751017424,0.669424495,0,1.00E+06,0,1.00E+06,2.117114943,0.036212092,2.437187778,0.064787069
333,0,1.00E+06,0.453060636,0.589415465,0.7239471,0.715828967,0,1.00E+06,0,1.00E+06,0.78975198,0.312686226,2.237446691,0.155466247
441,0,1.00E+06,0.416043102,0.65522583,0.683605686,0.747841331,0,1.00E+06,0,1.00E+06,0.729682043,0.297557068,2.110913496,0.212466111
549,0,1.00E+06,0.391832745,0.696032641,0.663463388,0.812424928,0,1.00E+06,0,1.00E+06,0.142198619,0.712884242,2.042054436,0.254720667
657,0,1.00E+06,0.399819971,0.677863372,0.667231975,0.797078144,0,1.00E+06,0,1.00E+06,0.418627714,0.433130973,2.039587827,0.25390827
765,0,1.00E+06,0.425355629,0.635571482,0.689328409,0.76339906,0,1.00E+06,0,1.00E+06,0.410525992,0.413029829,2.029547532,0.246273959
873,0,1.00E+06,0.406508861,0.666608607,0.673544277,0.790358782,0,1.00E+06,0,1.00E+06,0.456915961,0.37493075,2.048664394,0.235208672
981,0,1.00E+06,0.396171487,0.693697922,0.655161502,0.81365302,0,1.00E+06,0,1.00E+06,0.155576742,0.739377118,2.001323266,0.272974967
1089,0,1.00E+06,0.388895104,0.722364498,0.652814806,0.822544619,0,1.00E+06,0,1.00E+06,-0.11100475,NA,1.95965071,0.296421986
1197,0,1.00E+06,0.38089691,0.696970749,0.647018408,0.829086957,0,1.00E+06,0,1.00E+06,0.026700014,1.170521784,1.961660604,0.279172622
1305,0,1.00E+06,0.413277116,0.648140974,0.675039881,0.780053502,0,1.00E+06,0,1.00E+06,0.231518074,0.550460136,2.002943086,0.26084218
1413,0,1.00E+06,0.378784866,0.699133906,0.642988864,0.829579112,0,1.00E+06,0,1.00E+06,0.279967241,0.54246459,1.971709328,0.290823296
2493,0,1.00E+06,0.363529184,0.730753412,0.631868891,0.832923185,0,1.00E+06,0,1.00E+06,0.083214383,0.799377555,1.901536647,0.320430389
3573,0,1.00E+06,0.361460163,0.742168473,0.630754221,0.842994751,0,1.00E+06,0,1.00E+06,0.117926247,0.741771712,1.955368929,0.285739836
4653,0,1.00E+06,0.362286275,0.731769751,0.626523526,0.841897224,0,1.00E+06,0,1.00E+06,-0.224213145,NA,1.922407247,0.311150498
5400,0,1.00E+06,0.358857845,0.759737768,0.618745928,0.855945097,0,1.00E+06,0,1.00E+06,-0.093955075,NA,1.918710606,0.326158547
