size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
100,0.316985444,0.368498236,0.465165689,0.54621944,0.525378903,0.853570367,0.498452447,0.46710823,1.129035158,0.660814149,-0.054309943,NA,1.237425424,0.395837994
101,0.317220095,0.442429435,0.453713706,0.477786187,0.522322079,0.881520105,0.73878437,0.288966045,1.188480201,0.627287686,-0.051938883,NA,1.283708006,0.331170197
102,0.317128236,0.366364104,0.453973157,0.510230818,0.5128977,0.879515541,0.588233762,0.388550242,1.182878808,0.592162069,-0.110798431,NA,1.276134443,0.363178636
103,0.316873237,0.439740363,0.451844601,0.533410179,0.512272112,0.843666351,0.530919685,0.399007621,1.140772104,0.648686398,0.020216275,1.535746244,1.240027536,0.354493527
104,0.317439426,NA,0.425383309,0.564937748,0.486589946,0.93500701,0.343077294,0.552964363,1.06998841,0.693604272,0.108321377,0.864790543,1.192428321,0.414715145
105,0.318803835,0.437130042,0.460538473,0.503144609,0.516360846,0.810416327,0.597042574,0.31493723,1.112081714,0.644191892,0.004716755,1.958268045,1.276437269,0.397638106
106,0.320010629,NA,0.450684577,0.508734143,0.511720766,0.865340145,0.736011878,0.272012738,1.193516627,0.594119057,-0.198956272,NA,1.288399706,0.351588043
107,0.32089368,0.434594668,0.44180211,0.546624123,0.522729716,0.811565938,0.417470284,0.447764003,1.048645371,0.717838912,0.04307095,1.144142727,1.21062075,0.423491804
108,0.321696495,NA,0.50026594,0.471943644,0.540018806,0.786490919,0.561359047,0.357382512,1.124020023,0.694397196,-0.040100671,NA,1.248483906,0.364106795
117,0.326101484,0.422925369,0.498534081,0.390735569,0.552432488,0.753355622,0.629243345,0.401137511,1.066521529,0.682287969,0.057106778,1.055617919,1.201624484,0.426403056
225,0.355076078,0.462606996,0.417053396,0.539472695,0.475542283,0.900367604,0.492758022,0.437213944,1.005094159,0.741907396,0.149425466,0.782609713,1.02331218,0.596088743
333,0.367380998,0.475994004,0.273942056,0.741075716,0.378048848,1.142550746,0.233398306,0.669012238,0.882207759,0.874163758,0.005249058,1.947024236,0.981059532,0.608062274
441,0.374351654,0.482723204,0.345120971,0.680416597,0.417879894,1.010369848,0.371496022,0.503408515,0.88902939,0.875275982,0.245344212,0.604788116,0.969046715,0.616694344
549,0.378891059,0.459205081,0.346325842,0.659328642,0.424032148,0.99697569,0.49159034,0.409687849,0.978157916,0.795423958,0.171240955,0.690333442,0.943480683,0.652737661
657,0.382104327,0.466540119,0.296581728,0.72502546,0.386079278,1.129279816,0.284803299,0.640002585,0.884428121,0.863067974,0.111074692,0.840992336,0.978818157,0.58861977
765,0.384509433,0.471772643,0.303435286,0.762016572,0.390555537,1.112027557,0.14726208,0.891458052,0.810824319,0.968826486,0.204254762,0.653266171,0.924029316,0.672107813
873,0.386383241,0.414634531,0.332793951,0.697659773,0.40353377,1.088098469,0.247647799,0.718750809,0.848494538,0.920243876,0.208379244,0.682427283,0.953344745,0.646984409
981,0.387887897,0.463351211,0.293656495,0.71339502,0.377581732,1.121018041,0.400889496,0.439874507,0.895335249,0.862200807,0.220654928,0.647025852,0.938454953,0.617141339
1089,0.389125,0.467346768,0.338794719,0.634235288,0.419349165,0.996978485,0.218799432,0.728267366,0.765985316,1.012076406,0.186474816,0.735682956,0.958526085,0.642365572
1197,0.390161611,0.470611644,0.313774406,0.744436611,0.39450105,1.075417637,0.256005507,0.572139944,0.878325617,0.846782281,0.128637224,0.839944515,0.860699122,0.777944257
1305,0.39104387,0.43194209,0.332752054,0.652466077,0.413102216,0.99021124,0.151430833,0.813868595,0.789701378,0.967230639,0.065266375,1.061540941,0.954666036,0.623019648
1413,0.391804618,0.464952607,0.261127034,0.825246911,0.351142591,1.148705558,0.259931746,0.681801119,0.781488399,0.983279816,0.179244029,0.687806242,0.907033809,0.681977759
2493,0.396036025,0.447609433,0.39182065,0.623494858,0.43843213,0.993342377,0.127830529,0.907730362,0.804401323,0.953392954,0.120485826,0.82811162,0.925187221,0.662905238
3573,0.397867034,0.45177628,0.291469372,0.690766701,0.378879552,1.149620933,0.442081243,0.432588247,0.891726603,0.868557179,0.214059133,0.609604494,0.924592389,0.646129465
4653,0.398903206,0.445644081,0.368472792,0.610311023,0.411049279,1.055866702,0.313832927,0.557908517,0.870310641,0.912054659,0.06695559,1.062375894,0.913799559,0.738324011
5400,0.399574625,0.44187159,0.318725912,0.712354428,0.385804646,1.102189301,0.105849714,0.930993425,0.790696207,0.975146215,0.198471096,0.679301878,0.893814474,0.684265902
