size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
50,0,1.00E+06,0.935087349,0.115143714,0.987634786,0.353091798,0,1.00E+06,0,1.00E+06,-1.230825895,NA,3.141486606,-0.300310411
51,0,1.00E+06,0.900816353,0.194410183,0.968509889,0.35164758,0,1.00E+06,0,1.00E+06,-1.235043777,NA,3.116376498,-0.298533933
52,0,1.00E+06,0.903015612,0.19326847,0.968299518,0.311318157,0,1.00E+06,0,1.00E+06,-1.277774267,NA,3.066801751,-0.289166536
53,0,1.00E+06,0.903607439,0.257238522,0.962363641,0.406029616,0,1.00E+06,0,1.00E+06,-1.272617826,NA,3.064490417,-0.286801988
54,0,1.00E+06,0.918998589,0.197525945,0.964716411,0.398357752,0,1.00E+06,0,1.00E+06,-1.113694247,NA,2.998333804,-0.26964174
55,0,1.00E+06,0.873301624,0.214913064,0.936154718,0.399325667,0,1.00E+06,0,1.00E+06,-1.24301815,NA,2.952759757,-0.251996443
56,0,1.00E+06,0.881113832,0.140748123,0.946223687,0.401937371,0,1.00E+06,0,1.00E+06,-1.144996187,NA,2.896128556,-0.244735095
57,0,1.00E+06,0.848982233,0.210518453,0.9228423,0.432496043,0,1.00E+06,0,1.00E+06,-1.147042869,NA,2.871793956,-0.232870372
58,0,1.00E+06,0.875131097,0.168414986,0.940122211,0.376619972,0,1.00E+06,0,1.00E+06,-1.087553592,NA,2.862253207,-0.237425817
59,0,1.00E+06,0.840687729,0.179019466,0.915796894,0.464531529,0,1.00E+06,0,1.00E+06,-0.941789014,NA,2.832557994,-0.229698336
60,0,1.00E+06,0.867896637,0.186600453,0.930184589,0.37980978,0,1.00E+06,0,1.00E+06,-1.10502001,NA,2.756823564,-0.202408904
61,0,1.00E+06,0.831428494,0.190666911,0.902368448,0.472299124,0,1.00E+06,0,1.00E+06,-1.084436305,NA,2.736401247,-0.197876221
62,0,1.00E+06,0.841024446,0.222880819,0.904981913,0.417566703,0,1.00E+06,0,1.00E+06,-1.179064454,NA,2.762297859,-0.196557119
63,0,1.00E+06,0.855406249,0.234778457,0.912682952,0.46359092,0,1.00E+06,0,1.00E+06,-1.139874614,NA,2.737912025,-0.212320177
64,0,1.00E+06,0.815023983,0.192877057,0.886448189,0.472801605,0,1.00E+06,0,1.00E+06,-1.197759231,NA,2.753988688,-0.206794514
65,0,1.00E+06,0.834008468,0.209378677,0.897207864,0.383340977,0,1.00E+06,0,1.00E+06,-1.065966822,NA,2.673481426,-0.179321285
66,0,1.00E+06,0.798332268,0.266790028,0.877251818,0.456086395,0,1.00E+06,0,1.00E+06,-0.989027771,NA,2.700191812,-0.186779544
67,0,1.00E+06,0.825389303,0.194730669,0.888723251,0.431786064,0,1.00E+06,0,1.00E+06,-1.022017115,NA,2.605622295,-0.152737159
68,0,1.00E+06,0.820470302,0.18701245,0.892113439,0.447273555,0,1.00E+06,0,1.00E+06,-1.0481794,NA,2.634932406,-0.172032185
69,0,1.00E+06,0.791321897,0.283280251,0.871352829,0.410494359,0,1.00E+06,0,1.00E+06,-0.939016552,NA,2.589415767,-0.158320607
70,0,1.00E+06,0.751251109,0.327745276,0.842580212,0.47141181,0,1.00E+06,0,1.00E+06,-1.010615858,NA,2.53848697,-0.136847179
71,0,1.00E+06,0.83326666,0.276379058,0.882946196,0.431560634,0,1.00E+06,0,1.00E+06,-1.047692519,NA,2.563763116,-0.152871066
72,0,1.00E+06,0.771951889,0.231853389,0.858517706,0.450943819,0,1.00E+06,0,1.00E+06,-0.906825641,NA,2.512833884,-0.132471076
